create_Date,last_update,Price,sales,app_name,Created_by
25-Feb-19, 25 Feb 19,$23,1,Angel Body Spa & Dress-Up Games For Girls,freebabygames5
25-Feb-19, 25 Feb 19,$26,0,Baby Panda Pet Daycare + AndroidStudio + Admob + Chartboost,freebabygames5
25-Feb-19, 25 Feb 19,$15,1,EMOJI VS BLOCKS WITH ADMOB - ANDROID STUDIO,mensellgames
25-Feb-19, 25 Feb 19,$20,0,EMOJI VS BLOCKS - BUILDBOX PROJECT,mensellgames
25-Feb-19, 25 Feb 19,$45,0,LEARNING KIDS - FULL EDUCATIONAL APP FOR KIDS (ANDROIDE STUDIO),mensellgames
25-Feb-19, 25 Feb 19,$14,1,2D War Game UNITY3D 2018.3,hsyntzgl
25-Feb-19, 25 Feb 19,$59,0,LEARNING KIDS - FULL EDUCATIONAL APP FOR KIDS (BUILDBOX TAMPLATE & ECLIPS ANDROID FILE),mensellgames
25-Feb-19, 25 Feb 19,$35,0,Bubble Ball Shooter - Buildbox + iOS Xcode 10 + Android Studio + Admob + GDPR + API 27 + Eclipse,QUESTO_PLAY
25-Feb-19, 25 Feb 19,$19,1,Bubble Ball Shooter - Android Studio + Admob + GDPR + API 27 + Eclipse,QUESTO_PLAY
25-Feb-19, 25 Feb 19,$11,6,Ball Physics (Admob + GDPR + Android Studio),gradle
25-Feb-19, 25 Feb 19,$29,4,Slot Machine Deluxe with AdMob - Android Studio,Droid_Coder
25-Feb-19, 25 Feb 19,$25,2,Snake vs Block (Admob + GDPR + Android Studio),gradle
25-Feb-19, 7 Mar 19,$25,0,2D Cut The Rope (Phyiscs Rope Cutter) Mobile Game - Unity 5 Android Game Template,steelkrill
25-Feb-19, 25 Feb 19,$34,0,Alien Racing Game (BBDOC Buildbox 2.2.8) + AdMob + Easy Reskin,simohammmed2016
25-Feb-19, 7 Mar 19,$14,15,Wallpapers Android App - Admob Ready,zarsaeed
25-Feb-19, 25 Feb 19,$25,3,Clone Whatsapp Messenger  PRO - AdMob & GDPR,KINGDOV
25-Feb-19, 25 Feb 19,$89,4,InstaUnfollow - Instagram Unfollower Tool (Admob & Firebase & GDPR),MobiCube
25-Feb-19, 25 Feb 19,$22,3,Fire Sites | Native Android Multi-category & Multi-site WebView App with Firebase Back-end,loser-leo
25-Feb-19, 25 Feb 19,$14,2,Android Video Status app + Admob ready,zarsaeed
25-Feb-19, 25 Feb 19,$24,0,call recorder,i_tech
25-Feb-19, 25 Feb 19,$299,0,ISS ICO - Complete Initial Coin Offering Solution With Admin panel & Mobile App & Landing Page,cdibrandstudio
25-Feb-19, 25 Feb 19,$25,0,GoMedia - Multi Artist Music and Video Android App with Backend,madovercoding
25-Feb-19, 25 Feb 19,$54,4,Giftly - Android Rewards App,AwesomeDeveloper
25-Feb-19, 25 Feb 19,$19,1,All In One ProGuide - Guide - Tips - Tricks With Admob,DDR16
25-Feb-19, 25 Feb 19,$19,0,Progressive Web App For Opencart,rackons2015
25-Feb-19, 7 Mar 19,$9,2,Mobile Web Server (HTTP server on Device),logsearcher
25-Feb-19, 7 Mar 19,$19,1,Text Scanner with ML Kit,logsearcher
21-Feb-19, 7 Mar 19,$8,20,Dots And Boxes,agileinfoways2
21-Feb-19, 20 Feb 19,$20,1,Saw,EMS-11-Studio
21-Feb-19, 20 Feb 19,$25,4,Best Cute Girl Makeover Game For Kids + Ready For Publish + Android,iQueen
