,create_Date,last_update, Price ,sales,app_name,Created_by, usd , total , inr-tot ,
40,27-Jan-19, 26 Jan 19, $9 ,0,Save Pizza,OrangeStudioMain, $70.00 , $-   , ? -   ,
41,27-Jan-19, 26 Jan 19, $49 ,2,Tap Circle,TapTapStudio, $70.00 , $98.00 ," ? 6,860.00 ",
42,27-Jan-19, 13 Feb 19, $104 ,0,Track order ,, $70.00 , $-   , ? -   ,
43,27-Jan-19, 26 Jan 19, $25 ,0,Just Jump IOS - Ads + IAP + BuildBox File,Dulisa1, $70.00 , $-   , ? -   ,
44,27-Jan-19, 26 Jan 19, $25 ,0,Robber Chimney Jump - IOS + Ads + IAP + BuildBox File,Dulisa1, $70.00 , $-   , ? -   ,
45,27-Jan-19, 26 Jan 19, $29 ,4,HumanAR Anatomy for Kids,mbostudio, $70.00 , $116.00 ," ? 8,120.00 ",
46,27-Jan-19, 26 Jan 19, $20 ,1,Unique Quotes & Status - iOS App with Admin Panel,infotechgravity, $70.00 , $20.00 ," ? 1,400.00 ",
47,19-Jan-19, 19 Jan 19, $15 ,0,SAVE THE EGGS - IOS X CODE FILE,mensellgames, $70.00 , $-   , ? -   ,
48,19-Jan-19, 19 Jan 19, $30 ,2,Riddle BOLT - Buildbox template,rizwaanashraf, $70.00 , $60.00 ," ? 4,200.00 ",
49,19-Jan-19, 26 Jan 19, $46 ,0,Journey Forest - Xcode Project ( BBDOC ),EYE_SAW_FUTURE, $70.00 , $-   , ? -   ,
50,19-Jan-19, 5 Feb 19, $35 ,2,Shoot and Run 3 x Characters - iOS Xcode 10 + Admob,QUESTO_PLAY, $70.00 , $70.00 ," ? 4,900.00 ",
51,19-Jan-19, 19 Jan 19, $29 ,0,Shoot and Run - iOS Xcode 10 + Admob,QUESTO_PLAY, $70.00 , $-   , ? -   ,
52,19-Jan-19, 19 Jan 19, $29 ,0,Trap Mouse Dangerous Adventure - iOS Xcode 10 + Admob,QUESTO_PLAY, $70.00 , $-   , ? -   ,
53,19-Jan-19, 19 Jan 19, $19 ,0,Tic Tac Toe - iOS Xcode 10 + Admob,QUESTO_PLAY, $70.00 , $-   , ? -   ,
54,19-Jan-19, 19 Jan 19, $19 ,0,Brick Breaker Classic - iOS Xcode 10 + Admob,QUESTO_PLAY, $70.00 , $-   , ? -   ,
55,19-Jan-19, 19 Jan 19, $59 ,9,Listify - Business Directory iOS Native App with WordPress Backend,WebileStudio, $70.00 , $531.00 ," ? 37,170.00 ",
56,19-Jan-19, 19 Jan 19, $623 ,1,Eddie Adventures - Unity Complete Project (Android And iOS),blackrock1991, $70.00 , $623.00 ," ? 43,610.00 ",
57,19-Jan-19, 19 Jan 19, $149 ,0,Swamp Zombie Attack - Pirate Kings (Android And iOS),blackrock1991, $70.00 , $-   , ? -   ,
58,19-Jan-19, 19 Jan 19, $24 ,2,Sea Race Advanture + Xcode + AdMob,aminokee, $70.00 , $48.00 ," ? 3,360.00 ",
