Main Category,Sub Category
Stationery , Repellents ," Cutlery, Bottles, Chillers & Ice Cube Trays, Cookwere, Pressure Cooker, Kitchen Stroage, Dining & Serving, Cutting Tools, Flasks & Tiffins, Disposables, Mug & Cup Saucers, Bathroom Accessories"
Stationery , Kitchen & Dining ," Juicer Mixer & Blenders, Toasters"
Stationery , Kitchen & Home Appliance ," Toilet Paper, Disposable Plates & Utensils, Tissue Papers & Napkins"
Stationery , Air Fresheners ," Toilet Paper, Disposable Plates & Utensils, Tissue Papers & Napkins"
Stationery , Baby Food ," Baby Powder, Diapers & Wipes, Baby Care & Accessories, Baby Creams & Lotions, Baby Oils & Shampoos"
Stationery , Soft Drinks , Cola Drinks
Stationery , Fruit Juices ," Mango Juices, Orange Juices, Apple Juices"
Stationery , Tea & Coffee ," Tea, Green Tea, Tea Bags, Instant Coffee, Drinking Cocolate"
Stationery , Mineral Water , Energy Drinks
Stationery , Energy & Health Drinks ," Concentrates, Milk Drink, Sarbat"
