app_name,publisher,reviwe_rate,review_total,updated_on,downloads,require_android,current_version,size
Bus Impossible Tracks Stunt Racing 3D Coach Driver,Better Games Studio Pty Ltd,4.2,157,"April 1, 2019","100,000+",4.1 and up,1.4,34M
US Police Transporter Plane Simulator,Dolphin GAmes,4.0,"1,273","March 27, 2019","500,000+",4.1 and up,3.1,74M
Monster 4x4 Offroad Jeep Stunt Racing 2019,Extreme Games Production,3.9,"1,488","March 18, 2019","1,000,000+",4.1 and up,1.4,44M
Corolla Drift & Driving Simulator,Apaydın Games,4.1,"1,099","December 26, 2018","500,000+",4.1 and up,1.5,66M
Impossible Jeep Stunt Driving: Impossible Tracks,Identive,4.2,170,"March 21, 2019","100,000+",4.1 and up,1.0,28M
"Штрафы ГИБДД официальные: проверка, оплата штрафов",Штрафы ГИБДД официальные,4.8,"162,782","April 8, 2019","5,000,000+",4.0.3 and up,2.0.13,12M
Tractor Trolley Parking Drive - Drive Parking Game,New Feature Games - Story Based Games,3.9,302,"January 29, 2019","500,000+",4.1 and up,1.4,41M
New Car Driving Simulator 2018 – Real Drift,Mizo Studio Inc,4.2,594,"November 15, 2018","1,000,000+",4.0.3 and up,1.1,63M
CAFU,Mena Energy DMCC,3.9,216,"April 4, 2019","100,000+",5.0 and up,pv1.0.43_0401,28M
Speed Camera Radar,Road Soft,4.2,"57,111","March 6, 2019","10,000,000+",4.0.3 and up,3.1.2,9.3M
Police Detector (Speed Camera Radar),M.I.R.,4.3,"9,132","December 19, 2018","1,000,000+",4.1 and up,1.9,3.2M
Snow Mountain Bike Racing 2019 - Motocross Race,Storm Breakxr,4.0,"5,161","April 9, 2019","5,000,000+",4.1 and up,1.3,56M
"8891新車-汽車,新車,找車,買車,資訊,車評,Toyota,Nissan,BMW,Mazda",8891汽車交易網,4.5,"13,148","April 10, 2019","500,000+",5.0 and up,3.3.3,15M
Car Scanner ELM OBD2,0vZ,4.7,"19,490","April 8, 2019","1,000,000+",4.3 and up,1.26.2,44M
Билеты ПДД 2019 и Экзамен от ГИБДД с Drom.ru,Drom.ru,4.9,"31,685","March 29, 2019","1,000,000+",4.0.3 and up,2.0,60M
Offroad Police Car Chase Driving Simulator,Panda Gamerz Studios,4.0,373,"February 15, 2019","500,000+",4.2 and up,1.2,63M
Olho na Bomba - Preço do combustível em Goiás,Ministério Público do Estado de Goiás,4.1,"1,351","December 15, 2018","100,000+",4.3 and up,1.2.1,2.9M
"Штрафы ГИБДД с фотографией проверка, оплата онлайн",Росштрафы - проверка штрафов ГИБДД,4.6,"37,246","March 25, 2019","5,000,000+",4.1 and up,1.48,14M
OLX Cash My Car Partner Zone (Car Dealers Only),OLX Cash My Car,4.2,"1,243","February 26, 2019","1,000,000+",4.1 and up,3.2.1,5.3M
Штрафы ГИБДД с Фото - Проверка и Оплата Онлайн,Узнать Штрафы – Проверка и оплата штрафов ГИБДД,4.7,"150,731","April 9, 2019","1,000,000+",4.0.3 and up,5.4.68,8.9M
Vehicle Verification Pakistan,Wazeem,4.0,"1,324","January 18, 2019","500,000+",2.3 and up,5,2.5M
پلاک یاب و دریافت خلافی‎,Blueprogrammer,4.4,308,"March 14, 2019","50,000+",4.0.3 and up,1.9.7,5.6M
Water Jet Ski Boat Racing 3D,Frenzy Games Studio,4.3,"1,652","January 21, 2019","500,000+",4.1 and up,1.3,49M
Flying Firefighter Truck Simulator 2019,Panda Gamerz Studios,3.7,619,"March 1, 2019","1,000,000+",4.4 and up,1.5,78M
Grand City Gangster Story - Crime Car Drive,The Game Max  Studio,3.8,"1,409","March 29, 2019","100,000+",4.1 and up,1.1,86M
Official Traffic Fines,Tinkoff Bank,4.6,"53,714","December 18, 2018","1,000,000+",4.1 and up,1.9.2,36M
Used cars for sale - Trovit,Trovit,4.2,"54,400","August 21, 2018","5,000,000+",4.0.3 and up,4.47.5,7.0M
NY City Taxi Transport Driver: Cab Parking SIM,Gamestr - Car Moto Bike Racing Games,3.9,334,"March 11, 2019","100,000+",4.2 and up,1.0,42M
Проверка авто по базам ГИБДД по VIN и ГОСНОМЕРУ,Официальные базы ГИБДД РФ,4.9,"37,531","April 7, 2019","100,000+",4.4 and up,10.64,7.7M
Police Car Parking: Free 3D Driving Games,Nitro Games Production,4.1,732,"March 12, 2019","1,000,000+",4.0 and up,1.0.5,48M
MetroSMART Ride,"Metro, a brand of T-Mobile USA, Inc",4.2,425,"March 21, 2019","100,000+",5.0 and up,2.16.11.22,17M
Pandora Online,alarmtrade.developer,3.3,"5,328","March 29, 2019","100,000+",4.3 and up,2.19.7,19M
US Police Transporter: Cargo Plane Simulator,Gamestr - Car Moto Bike Racing Games,4.0,545,"March 7, 2019","500,000+",4.2 and up,1.0,42M
FIXD - Vehicle Health Monitor,FIXD,4.5,"4,126","March 30, 2019","100,000+",4.1 and up,6.0.5,90M
Exist,Exist RU,4.1,"12,608","April 9, 2019","100,000+",5.0 and up,8.6,43M
Extreme Car Stunts : Extreme Demolition Wreckfast,Fantastic Action Games,4.2,"2,268","February 1, 2019","1,000,000+",4.1 and up,1.0.9,26M
監理服務,交通部公路總局,4.1,"2,379","November 30, 2018","500,000+",5.0 and up,1.11.5,15M
MotorData OBD Car Diagnostics. ELM OBD2 scanner,Legion-Autodata JSC,4.1,"3,462","October 31, 2018","1,000,000+",4.0 and up,1.17.3.347,10.0M
Car Crash Demolition Derby Simulator 2018,GearsInMotion Games,4.2,"4,778","March 18, 2019","500,000+",4.1 and up,1.8,29M
Fishing Ship Simulator 2019 : Fish Boat Game,Extreme Games Production,4.0,228,"February 27, 2019","100,000+",4.1 and up,1.2,40M
Placa Fipe,Muriel Tecnologia,4.6,"6,678","February 14, 2019","100,000+",4.1 and up,1.4.5,3.6M
S bike mode,Samsung R&D Institute India Noida,4.5,"9,850","March 7, 2019","50,000,000+",Varies with device,Varies with device,Varies with device
CarDekho - New & Used Cars Price & Offers in India,Girnar Software Pvt. Ltd.,4.5,"141,385","March 18, 2019","5,000,000+",Varies with device,Varies with device,Varies with device
Formula Race Legends,Frenzy Games Studio,4.2,"1,942","April 8, 2019","1,000,000+",4.1 and up,1.2,69M
Car Computer - Olivia Drive , ELM327 OBD2,Vasilenok Pavel,4.5,"7,174","April 10, 2019","500,000+",4.0 and up,9.410,3.9M
Monster Truck Mega Ramp Stunts Tracks,buraq games studio,4.1,971,"March 22, 2019","500,000+",4.1 and up,1.6,34M
AutoScout24 - used car finder,AutoScout24 GmbH,4.5,"209,560","April 3, 2019","10,000,000+",4.2 and up,9.4.41,48M
Tabela FIPE - Preço de Veículo,DevPlank,4.6,"52,544","March 21, 2019","1,000,000+",4.1 and up,2.06,5.9M
DAGPS,deaoke,3.5,694,"March 30, 2019","10,000+",4.0 and up,19033001,34M
Номерограм — поиск фото авто по гос номеру,Drom.ru,4.8,"10,908","April 9, 2019","100,000+",4.0.3 and up,2.2.0,5.1M
"PakWheels: Buy & Sell Cars, Bikes and Auto Parts",PakWheels (Pvt) Ltd.,4.4,"17,071","March 28, 2019","1,000,000+",4.2 and up,10.5.1,25M
"KB차차차 - No.1실차주인증매물. 중고차시세, 구매 판매, 수입차할부 리스 렌트 대출",KB캐피탈,4.3,"3,307","April 2, 2019","1,000,000+",4.1 and up,2.9.7,26M
АЗС.GO - выгодно и удобно на АЗС «Газпромнефть»,Team AZS.GO,3.9,"1,076","April 2, 2019","10,000+",4.1 and up,1.3.3.10,4.4M
Автодок,Autodoc IT,4.7,"39,073","April 5, 2019","1,000,000+",4.4 and up,1.9.4.1,7.6M
Билеты+ПДД 2019 Экзамен,ПДД России,4.9,"222,753","April 9, 2019","5,000,000+",4.1 and up,8.51,44M
Veicolo,RS1 Project,3.2,"2,802","March 18, 2019","100,000+",4.2 and up,9.0.2,22M
Anytime - Carsharing in Minsk. Car rent in Belarus,"ООО ""Каршеринг Клуб""",4.6,"1,518","March 7, 2019","50,000+",4.1 and up,12.216,9.3M
Derby Car Crash Stunts,Frenzy Games Studio,4.1,"3,379","April 1, 2019","1,000,000+",4.1 and up,1.9,57M
Ulysse Speedometer,binarytoys,4.3,"41,339","March 7, 2019","5,000,000+",Varies with device,Varies with device,Varies with device
AutoBoy Dash Cam - BlackBox,HappyConz,4.4,"12,619","November 5, 2018","1,000,000+",4.4 and up,3.7.11,8.3M
inCarDoc , ELM327 OBD2 Scanner Bluetooth/WiFi,PNN Soft,4.2,"25,989","February 20, 2019","5,000,000+",4.0.3 and up,7.3.1,14M
BlueDriver OBD2 Scan Tool,Lemur Vehicle Monitors,4.3,"4,671","November 8, 2018","500,000+",4.0.3 and up,6.11.9,23M
AutoGuard Dash Cam - Blackbox,Pyungwoo Yoo,4.2,"14,921","March 16, 2019","1,000,000+",Varies with device,Varies with device,Varies with device
EOBD Facile - OBD 2 Car Diagnostic for elm327 Wifi,Outils OBD Facile,3.9,"13,079","April 5, 2019","1,000,000+",4.0 and up,3.08.0604,27M
"Android Auto - Google Maps, Media & Messaging",Google LLC,4.2,"502,962","March 20, 2019","10,000,000+",5.0 and up,Varies with device,16M
Транспортная карта,ZOLOTAYA KORONA,3.0,805,"September 21, 2018","100,000+",5.0 and up,2.1.1,4.2M
遠通電收ETC,遠通電收,3.2,"55,362","March 26, 2019","1,000,000+",5.0 and up,5.1.2,43M
Waptaxi Водитель,Waptaxi,3.8,"4,834","April 9, 2019","100,000+",4.0 and up,1.43,2.0M
SKencar,SK엔카,3.9,"6,088","April 10, 2019","1,000,000+",4.0.3 and up,4.3.2,40M
iCarros â€“ Comprar Carros,iCarros Ltda,4.4,"86,804","April 6, 2019","1,000,000+",Varies with device,Varies with device,Varies with device
BimmerCode for BMW and Mini,Stephan Gauch,4.5,"1,490","March 15, 2019","50,000+",4.2 and up,1.25.0-4137,3.7M
Digipare: Blue Zone Parking - Mobile Pay,Areatec Tecnologia e Serviços,3.8,"3,475","March 30, 2019","500,000+",Varies with device,Varies with device,Varies with device
Webmotors - Anunciar Carros,Webmotors S.A.,4.4,"112,498","April 8, 2019","1,000,000+",4.1 and up,3.4.2,7.3M
maxim — order a taxi,Mobil Telecom LLC,4.5,"92,778","April 8, 2019","5,000,000+",Varies with device,Varies with device,Varies with device
