app_name,publisher,reviwe_rate,review_total,updated_on,downloads,require_android,current_version,size
Jungle Maya Quest,Wonder Mobi Game,4.7,410,"November 22, 2018","50,000+",4.0.3 and up,1.0,22M
3D My Name Live Wallpaper,My Name Cube Apps,4.4,"23,518","February 6, 2019","1,000,000+",4.0.3 and up,2.30,4.0M
Figma Mirror,Figma Inc.,3.3,208,"August 15, 2018","10,000+",7.0 and up,2.0.1,1.9M
Tattoo for boys Images,The Blue Lion Developer,4.2,"7,844","March 27, 2019","1,000,000+",4.1 and up,1.20.3,9.5M
Origami Diagram,Origami Diagram,4.4,148,"April 7, 2019","50,000+",2.3 and up,2.07,17M
Love Poem Collection,hannapp,4.1,23,"September 27, 2018","10,000+",2.3 and up,1.0,8.8M
Rope Hero Keyboard Theme,Love Free Themes,4.1,451,"March 31, 2019","50,000+",4.0.3 and up,6.3.31.2019,14M
Crazzy Craft,Crazzy Craft,4.5,746,"April 8, 2019","100,000+",4.1 and up,2.2,4.5M
كتابة إسمك في صور  جميلة ورائعة‎,تطبيقات عربية تعليمية 2018‎,4.6,"5,950","September 13, 2018","1,000,000+",3.0 and up,1.5,15M
Mysterious Mayan Treasure,Wonder Mobi Game,4.6,576,"November 1, 2018","50,000+",4.0.3 and up,1.0,19M
"Sun Galaxy Theme \ Samsung, Huawei, LG, Moto, HTC",Stylish Themes and Keyboards 2019,4.5,228,"September 16, 2018","10,000+",4.0.3 and up,1.1.2,3.4M
vehicles coloring book & drawing book - kids Game,Bitty Apps,4.1,902,"April 9, 2019","1,000,000+",4.1 and up,1.0.11,5.1M
Cool Art Drawing Ideas,Peli Ngacengan,4.1,"1,246","November 12, 2018","100,000+",2.3 and up,1.0,8.1M
Matnnegar (Write On Photo),Mahmoud Afarideh,4.6,"9,738","March 27, 2019","500,000+",4.0.3 and up,5.1.2,25M
How to draw cute animals step by step,True Fun Apps,4.3,92,"April 5, 2019","10,000+",4.1 and up,1.4,15M
Name On Necklace - Name Art,Droidy Apps,4.5,"6,999","February 19, 2019","1,000,000+",4.0.3 and up,V2.2.4,27M
Magical Spell Crush,Wonder Mobi Game,4.7,405,"November 28, 2018","10,000+",4.0.3 and up,1.0,21M
gowithYamo: The Art Guide,Grandapps,3.3,24,"April 1, 2019","10,000+",5.0 and up,1.8,7.1M
2019 DIY Ideas,NewLooks,3.7,199,"September 16, 2018","10,000+",4.1 and up,3.6,3.9M
XS Launcher for Phone XS Max - Stylish OS 12 Theme,Pop Locker Team - Hide Secret App,4.6,"3,118","March 25, 2019","100,000+",4.1 and up,1.1.2,9.9M
300 Art Drawing Ideas,Home Design Solutions,4.3,490,"November 7, 2017","100,000+",2.3 and up,1.0,18M
Sad Drawing Ideas,inojon,3.6,98,"January 11, 2019","10,000+",4.0.3 and up,1.1,4.2M
ملك الحالات‎,AppsTeam,4.7,"6,195","September 24, 2018","100,000+",4.0.3 and up,1.0.0.7,8.4M
Love Photo frames Collage,Tri Core,4.3,"3,427","July 9, 2018","1,000,000+",4.0 and up,1.04,14M
Design Logo Ideas,inojon,4.1,"2,785","January 11, 2019","100,000+",4.0.3 and up,1.1,20M
Material Color Palette - Extract Real/Live colors,Ravrani Software Developers,4.1,151,"May 21, 2018","50,000+",4.1 and up,1.2.3,3.0M
Nails Art: Girls Fashion Coloring Book,TIC TIC GAMES,4.5,69,"March 19, 2019","50,000+",4.1 and up,10.0,38M
