company,models
Apple,"['Clones', 'iPad', 'iPad 2', 'iPad 3', 'iPad 4', 'iPad Air', 'iPad Air 2', 'iPad MiNi 4', 'iPad Mini', 'iPad Mini 2', 'iPad Pro', 'iPhone 1st Gen 16 GB', 'iPhone 3G 16 GB', 'iPhone 3G 32 GB', 'iPhone 3G 8 GB', 'iPhone 3GS 16GB', 'iPhone 3GS 32GB', 'iPhone 3GS 8GB', 'iPhone 4', 'iPhone 4 (64 GB)', 'iPhone 4 16GB', 'iPhone 4 32GB', 'iPhone 4S', 'iPhone 4S 16GB', 'iPhone 4S 32GB', 'iPhone 4S 64GB', 'iPhone 5', 'iPhone 5 32GB', 'iPhone 5 64GB', 'iPhone 5c', 'iPhone 5c 16GB', 'iPhone 5c 32GB', 'iPhone 5s', 'iPhone 5s 32GB', 'iPhone 5s 64GB', 'iPhone 6', 'iPhone 6 128 GB', 'iPhone 6 128GB', 'iPhone 6 16 GB', 'iPhone 6 32GB', 'iPhone 6 64 GB', 'iPhone 6 64GB', 'iPhone 6 Plus', 'iPhone 6 Plus 128GB', 'iPhone 6 Plus 16 GB', 'iPhone 6 Plus 64GB', 'iPhone 6S PLUS 64 GB', 'iPhone 6s', 'iPhone 6s 128GB', 'iPhone 6s 32GB', 'iPhone 6s 64GB', 'iPhone 6s Plus', 'iPhone 6s Plus 128GB', 'iPhone 6s Plus 32GB', 'iPhone 6s Plus 64GB', 'iPhone 7', 'iPhone 7 128GB', 'iPhone 7 256GB', 'iPhone 7 Plus', 'iPhone 7 Plus 128GB', 'iPhone 7 Plus 256GB', 'iPhone 7 Plus 32GB', 'iPhone 8', 'iPhone 8 256GB', 'iPhone 8 Plus', 'iPhone 8 Plus 256GB', 'iPhone 8s', 'iPhone SE', 'iPhone SE (128GB)', 'iPhone SE (32GB)', 'iPhone SE (64GB)', 'iPhone X', 'iPhone X 256GB', 'iPhone X Plus', 'iPhone XR', 'iPhone XR 128GB', 'iPhone XR 256GB', 'iPhone XS', 'iPhone XS 256GB', 'iPhone XS 512GB', 'iPhone XS Max', 'iPhone XS Max 256GB', 'iPhone XS Max 512GB', 'iPhone XS Plus', 'Others']"
HTC,"['10', '10 Lifestyle', '10 evo', '7 Mozart', '7 Surround', 'Amaze 4G', 'BUTTERFLY', 'BUTTERFLY DROID DNA', 'Butterfly S', 'Butterfly X920D', 'ChaCha', 'DESIRE 700', 'DESIRE 820S DUAL SIM', 'DROID Incredible 2', 'Desire', 'Desire 10 lifestyle', 'Desire 10 pro', 'Desire 12', 'Desire 12 (3GB/32GB)', 'Desire 12+', 'Desire 12s', 'Desire 200', 'Desire 210', 'Desire 300', 'Desire 310 1GB RAM', 'Desire 310 512MB RAM', 'Desire 320', 'Desire 326G', 'Desire 500', 'Desire 501 Dual Sim', 'Desire 510', 'Desire 516', 'Desire 516c Dual SIM', 'Desire 526', 'Desire 526G Plus', 'Desire 526G plus Dual Sim 16GB', 'Desire 526G+ Dual Sim 8GB', 'Desire 530', 'Desire 600 Dual Sim', 'Desire 600c Dual Sim', 'Desire 601', 'Desire 601 Dual Sim', 'Desire 610', 'Desire 616', 'Desire 616 Dual SIM', 'Desire 620', 'Desire 620G Dual Sim', 'Desire 626 LTE', 'Desire 626G+ Dual Sim', 'Desire 628', 'Desire 628 Dual SIM', 'Desire 630', 'Desire 650', 'Desire 700 Dual Sim', 'Desire 728 32GB', 'Desire 728 Dual SIM', 'Desire 728G Dual SIM', 'Desire 816', 'Desire 816G', 'Desire 816G (16GB) Dual Sim', 'Desire 816G Dual Sim', 'Desire 816G Octa Core Dual Sim', 'Desire 820', 'Desire 820G', 'Desire 820G Plus', 'Desire 820Q Dual Sim', 'Desire 820s', 'Desire 825', 'Desire 826', 'Desire 826 (GSM+CDMA)', 'Desire 826G Plus', 'Desire 826X', 'Desire 828 (CDMA+GSM)', 'Desire 828 32GB', 'Desire 828 Dual Sim', 'Desire 830', 'Desire C A320E', 'Desire Eye', 'Desire HD A9191', 'Desire S', 'Desire SV', 'Desire U', 'Desire V', 'Desire VC 328c ', 'Desire X', 'Desire X Dual Sim', 'Desire XC T329D', 'Desire XDS', 'Desire Z', 'Droid DNA', 'Droid Incredible', 'EVO 3D', 'Evo 4G', 'Explorer A310E', 'FLYER P510e', 'First', 'Google Nexus', 'Google Nexus One', 'HD 7 T9292', 'HD Mini', 'HD7', 'HTC Eluga A2', 'HTC One E9 plus 32GB', 'Hero', 'Ignite', 'Incredible S', 'Inspire 4G', 'Legend', 'Magic', 'NEXUS 9', 'Nexus One', 'ONE M9E', 'ONE SV', 'ONE SV LTE', 'ONE VX', 'One (M8 Eye)', 'One 32GB', 'One 64GB', 'One 802d', 'One A9', 'One A9 3GB/32GB', 'One A9s', 'One Dual Sim', 'One E8', 'One E9+', 'One E9S', 'One E9s Dual Sim', 'One M7', 'One M7 Single Sim', 'One M8', 'One M8 32GB', 'One M8 Ace', 'One M8 Eye', 'One M8 Prime', 'One M9', 'One M9 Prime Camera Edition', 'One M9+', 'One M9+ (2GB/16GB)', 'One M9+ Prime Camera  Edition ', 'One M9+ Supreme Camera', 'One M9S 16GB', 'One M9s', 'One ME', 'One Max', 'One Max 32GB', 'One Mini', 'One Mini 2', 'One Mini M4', 'One S Z560E', 'One S9', 'One V', 'One X', 'One X 32GB', 'One X+ 32GB', 'One X+ 64GB', 'One X10', 'One X9', 'One XL', 'P3452', 'PURE', 'Pulse', 'Radar', 'Rhyme', 'SALSA C510e', 'Sensation', 'Sensation 4G', 'Sensation XE', 'Sensation XL', 'Sensation Z710E', 'Smart', 'THUNDERBOLT 4G', 'Titan', 'Titan 2', 'Touch HD2 T8585', 'Touch Pro2', 'U Play', 'U Ultra', 'U11', 'U11 Life', 'U11+', 'U11+ (6GB/128GB)', 'Wildfire', 'Wildfire S', 'Windows Phone 8S', 'Windows Phone 8X', 'X7510 ADVANTAGE', 'i-mate JAMin', 'Others']"
Apple,"['Clones', 'iPad', 'iPad 2', 'iPad 3', 'iPad 4', 'iPad Air', 'iPad Air 2', 'iPad MiNi 4', 'iPad Mini', 'iPad Mini 2', 'iPad Pro', 'iPhone 1st Gen 16 GB', 'iPhone 3G 16 GB', 'iPhone 3G 32 GB', 'iPhone 3G 8 GB', 'iPhone 3GS 16GB', 'iPhone 3GS 32GB', 'iPhone 3GS 8GB', 'iPhone 4', 'iPhone 4 (64 GB)', 'iPhone 4 16GB', 'iPhone 4 32GB', 'iPhone 4S', 'iPhone 4S 16GB', 'iPhone 4S 32GB', 'iPhone 4S 64GB', 'iPhone 5', 'iPhone 5 32GB', 'iPhone 5 64GB', 'iPhone 5c', 'iPhone 5c 16GB', 'iPhone 5c 32GB', 'iPhone 5s', 'iPhone 5s 32GB', 'iPhone 5s 64GB', 'iPhone 6', 'iPhone 6 128 GB', 'iPhone 6 128GB', 'iPhone 6 16 GB', 'iPhone 6 32GB', 'iPhone 6 64 GB', 'iPhone 6 64GB', 'iPhone 6 Plus', 'iPhone 6 Plus 128GB', 'iPhone 6 Plus 16 GB', 'iPhone 6 Plus 64GB', 'iPhone 6S PLUS 64 GB', 'iPhone 6s', 'iPhone 6s 128GB', 'iPhone 6s 32GB', 'iPhone 6s 64GB', 'iPhone 6s Plus', 'iPhone 6s Plus 128GB', 'iPhone 6s Plus 32GB', 'iPhone 6s Plus 64GB', 'iPhone 7', 'iPhone 7 128GB', 'iPhone 7 256GB', 'iPhone 7 Plus', 'iPhone 7 Plus 128GB', 'iPhone 7 Plus 256GB', 'iPhone 7 Plus 32GB', 'iPhone 8', 'iPhone 8 256GB', 'iPhone 8 Plus', 'iPhone 8 Plus 256GB', 'iPhone 8s', 'iPhone SE', 'iPhone SE (128GB)', 'iPhone SE (32GB)', 'iPhone SE (64GB)', 'iPhone X', 'iPhone X 256GB', 'iPhone X Plus', 'iPhone XR', 'iPhone XR 128GB', 'iPhone XR 256GB', 'iPhone XS', 'iPhone XS 256GB', 'iPhone XS 512GB', 'iPhone XS Max', 'iPhone XS Max 256GB', 'iPhone XS Max 512GB', 'iPhone XS Plus', 'Others']"
HTC,"['10', '10 Lifestyle', '10 evo', '7 Mozart', '7 Surround', 'Amaze 4G', 'BUTTERFLY', 'BUTTERFLY DROID DNA', 'Butterfly S', 'Butterfly X920D', 'ChaCha', 'DESIRE 700', 'DESIRE 820S DUAL SIM', 'DROID Incredible 2', 'Desire', 'Desire 10 lifestyle', 'Desire 10 pro', 'Desire 12', 'Desire 12 (3GB/32GB)', 'Desire 12+', 'Desire 12s', 'Desire 200', 'Desire 210', 'Desire 300', 'Desire 310 1GB RAM', 'Desire 310 512MB RAM', 'Desire 320', 'Desire 326G', 'Desire 500', 'Desire 501 Dual Sim', 'Desire 510', 'Desire 516', 'Desire 516c Dual SIM', 'Desire 526', 'Desire 526G Plus', 'Desire 526G plus Dual Sim 16GB', 'Desire 526G+ Dual Sim 8GB', 'Desire 530', 'Desire 600 Dual Sim', 'Desire 600c Dual Sim', 'Desire 601', 'Desire 601 Dual Sim', 'Desire 610', 'Desire 616', 'Desire 616 Dual SIM', 'Desire 620', 'Desire 620G Dual Sim', 'Desire 626 LTE', 'Desire 626G+ Dual Sim', 'Desire 628', 'Desire 628 Dual SIM', 'Desire 630', 'Desire 650', 'Desire 700 Dual Sim', 'Desire 728 32GB', 'Desire 728 Dual SIM', 'Desire 728G Dual SIM', 'Desire 816', 'Desire 816G', 'Desire 816G (16GB) Dual Sim', 'Desire 816G Dual Sim', 'Desire 816G Octa Core Dual Sim', 'Desire 820', 'Desire 820G', 'Desire 820G Plus', 'Desire 820Q Dual Sim', 'Desire 820s', 'Desire 825', 'Desire 826', 'Desire 826 (GSM+CDMA)', 'Desire 826G Plus', 'Desire 826X', 'Desire 828 (CDMA+GSM)', 'Desire 828 32GB', 'Desire 828 Dual Sim', 'Desire 830', 'Desire C A320E', 'Desire Eye', 'Desire HD A9191', 'Desire S', 'Desire SV', 'Desire U', 'Desire V', 'Desire VC 328c ', 'Desire X', 'Desire X Dual Sim', 'Desire XC T329D', 'Desire XDS', 'Desire Z', 'Droid DNA', 'Droid Incredible', 'EVO 3D', 'Evo 4G', 'Explorer A310E', 'FLYER P510e', 'First', 'Google Nexus', 'Google Nexus One', 'HD 7 T9292', 'HD Mini', 'HD7', 'HTC Eluga A2', 'HTC One E9 plus 32GB', 'Hero', 'Ignite', 'Incredible S', 'Inspire 4G', 'Legend', 'Magic', 'NEXUS 9', 'Nexus One', 'ONE M9E', 'ONE SV', 'ONE SV LTE', 'ONE VX', 'One (M8 Eye)', 'One 32GB', 'One 64GB', 'One 802d', 'One A9', 'One A9 3GB/32GB', 'One A9s', 'One Dual Sim', 'One E8', 'One E9+', 'One E9S', 'One E9s Dual Sim', 'One M7', 'One M7 Single Sim', 'One M8', 'One M8 32GB', 'One M8 Ace', 'One M8 Eye', 'One M8 Prime', 'One M9', 'One M9 Prime Camera Edition', 'One M9+', 'One M9+ (2GB/16GB)', 'One M9+ Prime Camera  Edition ', 'One M9+ Supreme Camera', 'One M9S 16GB', 'One M9s', 'One ME', 'One Max', 'One Max 32GB', 'One Mini', 'One Mini 2', 'One Mini M4', 'One S Z560E', 'One S9', 'One V', 'One X', 'One X 32GB', 'One X+ 32GB', 'One X+ 64GB', 'One X10', 'One X9', 'One XL', 'P3452', 'PURE', 'Pulse', 'Radar', 'Rhyme', 'SALSA C510e', 'Sensation', 'Sensation 4G', 'Sensation XE', 'Sensation XL', 'Sensation Z710E', 'Smart', 'THUNDERBOLT 4G', 'Titan', 'Titan 2', 'Touch HD2 T8585', 'Touch Pro2', 'U Play', 'U Ultra', 'U11', 'U11 Life', 'U11+', 'U11+ (6GB/128GB)', 'Wildfire', 'Wildfire S', 'Windows Phone 8S', 'Windows Phone 8X', 'X7510 ADVANTAGE', 'i-mate JAMin', 'Others']"
