Name,URL
bike,https://www.quikr.com/bikes-scooters/sell-your-used-bikes-scooters/?postadcategoryid=264
car,https://www.quikr.com/cars/sell-your-used-cars/?postadcategoryid=263
commercial,https://www.quikr.com/cars-bikes/sell-used-commercial-vehicles/?postadcategoryid=265
