create_Date,last_update,Price,sales,app_name,Created_by
25-Feb-19, 7 Mar 19,$9,2,Mobile Web Server (HTTP server on Device),logsearcher
26-Oct-17, 26 Oct 17,$29,18,Internet Speed Meter - Daily Usage,TechX1406
08-Jun-17, 29 Jun 17,$39,66,Fynder - Find, Chat
03-Jun-17, 13 Apr 18,$29,16,Photica Android- photo social network,Appteve
30-May-17, 19 Apr 18,$69,48,Social Network Multi-Purpose,Strolink
16-Sep-16, 15 Sep 16,$144,8,Messaging System,kenzap
12-Oct-15, 2 Sep 16,$18,29,Simple Messenger v3,kenzap
05-Jun-14, 5 Jun 14,$12,13,Network Connection Checker,JannahPro
06-Nov-13, 5 Nov 13,$7,19,InternetConnectionCheck,Fotech
