create_Date,last_update,Price,sales,app_name,Created_by
19-Jan-19, 19 Jan 19,$24,5,World Radio,vora_harikrushna
06-Jan-19, 6 Jan 19,$30,1,Riddles Who Am I + Best Riddle Game For Kids + IOS Version,iQueen
06-Jan-19, 6 Jan 19,$24,1,Jump Spin Fit - Fun Arcade Game IOS Template + easy to reskine + AdMob,KartoFun
06-Jan-19, 10 Feb 19,$25,8,Restorder (iOS) - A single restaurant food ordering app.,BytotechSolution
06-Jan-19, 12 Jan 19,$13,0,[FEATURE] Colorado - Amazing Theme Manager iOS,MisterGrizzly
06-Jan-19, 6 Jan 19,$15,0,Kill FLY WITH ADMOB - IOS XCODE FILE,mensellgames
15-Dec-18, 15 Dec 18,$28,1,Christmas ice climber - Xcode Project New Game,aminokee
15-Dec-18, 15 Dec 18,$25,2,Heroes Bounce Game- Unity Template,UnityGamesDev
15-Dec-18, 15 Dec 18,$25,2,Picture Quiz Game- Unity Template,UnityGamesDev
15-Dec-18, 15 Dec 18,$18,2,ZOMBIE JUMP WITH ADMOB - IOS XCODE FILE,DiaaAldeen
15-Dec-18, 15 Dec 18,$249,0,Stickman Turbo Dismounting- Unity Template,UnityGamesDev
15-Dec-18, 15 Dec 18,$149,2,Strike Galaxy Attack- Unity Template,UnityGamesDev
15-Dec-18, 15 Dec 18,$14,1,Color Jump 3 - Fun Arcade Game IOS Template + easy to reskine + AdMob,KartoFun
15-Dec-18, 9 Feb 19,$53,15,Smart Music Dark IOS Swift,lyheangibell
15-Dec-18, 15 Dec 18,$9,2,iOS barcode and QR scanner,Reactiveweb
15-Dec-18, 15 Dec 18,$49,5,Stickman Shooter Zombie Game- Unity Template,UnityGamesDev
15-Dec-18, 15 Dec 18,$199,1,Stickman Shooting- Unity Template,UnityGamesDev
15-Dec-18, 18 Feb 19,$34,4,Shambhu's CoffeeBar IOS Multipurpose application with Admin Panel and Driver App,Galaxy1344
15-Dec-18, 26 Jan 19,$30,16,Webview - Convert URL/HTML to iOS app + push notification + inApp & much more,appernaut
03-Dec-18, 2 Dec 18,$38,0,True False Quiz For iOS,Castle_Software
03-Dec-18, 2 Dec 18,$18,1,STACK JUMP WITH ADMOB - IOS XCODE FILE,DiaaAldeen
03-Dec-18, 2 Dec 18,$49,3,Rain With Saws,TapTapStudio
03-Dec-18, 2 Dec 18,$16,4,ICE MONKEY RUNNER WITH ADMOB - IOS XCODE FILE,DiaaAldeen
03-Dec-18, 2 Dec 18,$30,1,Chat Application for iOS,ivantoskov
03-Dec-18, 2 Dec 18,$8,5,Scene Identifier - CoreML Application for iOS,ivantoskov
03-Dec-18, 2 Dec 18,$16,4,SANTA RUNNER WITH ADMOB - IOS XCODE FILE,DiaaAldeen
03-Dec-18, 29 Jan 19,$39,1,pure | iOS Text-only Anti-social Network App + Web version,xscoder
03-Dec-18, 2 Dec 18,$19,6,WebMobile - Web2App IOS mobile app written in Swift 4 Xcode,agordn
03-Dec-18, 2 Dec 18,$18,0,jimmy future city - Xcode _ AdMob,aminokee
03-Dec-18, 2 Dec 18,$99,5,Casino Classic Game – Combo 3 in 1 Unity Template,UnityGamesDev
03-Dec-18, 2 Dec 18,$39,0,Champions League News - UCL iOS App Template (Admob/Push),AppsVilla
03-Dec-18, 2 Dec 18,$200,0,Trivial Quiz Game All In One,ulverbrook
18-Nov-18, 5 Dec 18,$34,7,KING BURGER restaurant with Ingredients & delivery boy full IOS application,FreakTemplate
18-Nov-18, 18 Nov 18,$18,2,KOALA JUMPER WITH ADMOB - IOS XCODE FILE,DiaaAldeen
18-Nov-18, 18 Nov 18,$18,0,Monster Run-Ready To Publish- ADMOB INTEGRATED,aminokee
18-Nov-18, 18 Nov 18,$39,1,Flight 3D + Admob + IOS + Buildbox Project + Ready to publish,jcpps
18-Nov-18, 18 Nov 18,$18,0,DOGGY FARM WITH ADMOB - IOS XCODE FILE,DiaaAldeen
18-Nov-18, 18 Nov 18,$19,1,MATH vs BLOCK XMAS EDITION + Admob + IOS Project + Buildbox Project + Easy to Reskin,jcpps
18-Nov-18, 18 Nov 18,$34,1,SLIDE UP - BUILDBOX BBDOC ( Template ),EYE_SAW_FUTURE
18-Nov-18, 18 Nov 18,$16,0,THE ELEVATOR WITH ADMOB - IOS XCODE FILE,DiaaAldeen
18-Nov-18, 18 Nov 18,$20,1,SLIDE UP - Admob Ads ( XCode Project ),EYE_SAW_FUTURE
18-Nov-18, 18 Nov 18,$17,7,Weadeer - Weather application for iPhone,ivantoskov
10-Nov-18, 9 Nov 18,$49,4,Sport News - Football iOS App Template (Admob/Push),AppsVilla
