create_Date,last_update,Price,sales,app_name,Created_by
06-Jul-16, 4 Dec 18,$29,94,Shoppy Ecommerce UI KIT with android xml Source Code,rushabhpatel381
04-Jul-16, 13 Jul 16,$15,14,Dictionary Template for Android ,decadev
28-May-16, 27 May 16,$16,21,Android Restaurant Template ,odaite
12-May-16, 12 May 16,$19,18,CourseFinder - Social network of course (android),inspitheme
09-May-16, 9 May 16,$13,7,Jumpy - Buildbox Game Template + Android Eclipse Project ,gheorghe95
22-Apr-16, 23 Nov 18,$17,17,Fortin Wordpress Application Android,mayuri2411
19-Feb-16, 19 Mar 16,$15,35,PhotoSaver - Instagram ,AppsVala
27-Jan-16, 2 Nov 17,$14,68,Events,
22-Jan-16, 18 Jul 17,$19,281,YoVideo - Social network of video (android),inspitheme
13-Jan-16, 13 Jan 16,$18,92,Deli - Restaurant UI Template App for Android,mounzeragha
02-Jan-16, 29 Aug 17,$19,85,Audacity - Android Company Profile + Admin Panel + Google Analytics & Admob,appifyxyz
10-Dec-15, 21 May 18,$20,1,164,
04-Oct-15, 4 Oct 15,$24,17,Android App Template for Travel,vivacityinfotech
19-Sep-15, 29 Aug 17,$19,135,Finder - Android Directory App Template,appifyxyz
19-Jul-15, 19 Jul 15,$18,16,Food Delivery Mobile Application Template,bluehorntech
16-Apr-15, 5 Apr 17,$20,78,My Web App - Material Design UI - AdMob,vishalbodkhe
16-Apr-15, 4 Apr 17,$32,69,MyCHAT - Chat Messenger Template - AdMob,vishalbodkhe
10-Mar-15, 9 Mar 15,$16,101,Dictionary Pro Template with AdMob,codebhak
14-Feb-15, 25 Aug 15,$15,12,Cup App Template,i108
08-Feb-15, 31 Jul 15,$17,75,Conference App,i108
23-Dec-14, 28 Dec 18,$22,2,944,
09-Dec-14, 24 Mar 15,$17,32,Tourist Guide App Template with AdMob,i108
29-Nov-14, 12 Dec 14,$14,11,Chat App UI Template,MicroFurqan
25-Nov-14, 25 Nov 14,$15,83,Whatsup Messenger UI Template,SmartCoder
27-Oct-14, 7 Jan 15,$17,55,INews,suprom
07-Oct-14, 7 Oct 14,$18,32,Soko - Mobile Store,_gilo
01-Oct-14, 26 Feb 19,$19,1,670,
16-Sep-14, 25 Sep 14,$15,21,Top Quotes - Android Template + Admob,Aziz_cs
07-Jul-14, 7 Jul 14,$18,133,Gravity Flip - A Gravity Shifting Android Game,neurondigital
16-Jun-14, 4 Apr 17,$20,14,Sliding Tab Design Template,vishalbodkhe
17-Apr-14, 29 Oct 14,$16,307,2048 Puzzle - A Classic Android Game,neurondigital
02-Apr-14, 4 Apr 17,$16,23,Call SMS Blocker App Template with AdMob,vishalbodkhe
