create_Date,last_update,Price,sales,app_name,Created_by
05-Dec-16, 4 Dec 16,$24,28,Material Animation Kit | Easy Integration | Android Studio,icanstudioz
02-May-16, 1 May 16,$15,16,Android UI Material Design Template,volkdown
01-Apr-16, 31 Mar 16,$16,6,Tabata Workout Timer - For Weight Loss,yeyetiti38
24-Oct-15, 24 Oct 15,$10,16,Custom SDK Ads Library for Android,UnixMobi
11-Aug-15, 21 Dec 15,$15,61,Android Authentication System,qascript
15-Jul-15, 10 Mar 18,$14,10,Android Material Design Template with Mobile App components for Graphs, Reports and Analytics
01-Nov-14, 12 Feb 16,$16,34,Login and Signup Kit For Android,Antonio_irp
22-Nov-10, 9 Dec 10,$23,2,Android Uploader for Amazon S3,Mamlambo
