create_Date,last_update,Price,sales,app_name,Created_by
21-Feb-19, 20 Feb 19,$25,4,Best Cute Girl Makeover Game For Kids + Ready For Publish + Android,iQueen
21-Feb-19, 20 Feb 19,$35,0,Blast Ball - Buildbox + iOS Xcode 10 + Android Studio + Admob + GDPR,QUESTO_PLAY
21-Feb-19, 20 Feb 19,$19,1,Blast Ball - Android Studio + Admob + GDPR,QUESTO_PLAY
21-Feb-19, 25 Feb 19,$25,3,cats rescue (Android Studio+Admob+GDPR),monkey-creative
21-Feb-19, 20 Feb 19,$25,1,FRED ADVENTURES WITH ADMOB - BUILDBOX PROJECT & ECLIPS ANDROID FILE,mensellgames
21-Feb-19, 20 Feb 19,$22,2,New Candy Adventure Game Platform,TaylorAB
21-Feb-19, 20 Feb 19,$20,1,SNAKE VS MONSTERS - BUILDBOX TAMPLATE & ECLIPS ANDROID FILE,mensellgames
21-Feb-19, 20 Feb 19,$49,0,Kids Adventure Android iOS Buildbox with Applovin Ads,hobiron
21-Feb-19, 20 Feb 19,$24,0,Radial Airship ( Android Project + Eclipse + Admob + Bbdoc ),YoYo-Games
21-Feb-19, 20 Feb 19,$43,0,Rome Fashion Girls - Unity Game,kencu1234
21-Feb-19, 20 Feb 19,$20,4,Snake City Arcade game template + Admob (Android studio) - Easy to reskin - Snake City android game,NiceGame
21-Feb-19, 20 Feb 19,$30,1,Snake City Arcade game template + Admob - Easy to reskin - Snake City android and ios game.,NiceGame
21-Feb-19, 20 Feb 19,$20,1,Jump Craft 3D ( Android Project + Eclipse + Admob + Bbdoc ),YoYo-Games
19-Feb-19, 25 Feb 19,$18,2,Tic Tac Toe Android Puzzle Game With Admob,rackons2015
19-Feb-19, 18 Feb 19,$16,1,TanK Forces - Ready For Publish + Android Studio,aminokee
19-Feb-19, 18 Feb 19,$20,4,Ninja Hero Adventure Android Game with AdMob,ThunderExp
19-Feb-19, 18 Feb 19,$25,0,Jump stairs ( Android Project + Eclipse + Admob + Bbdoc ),YoYo-Games
19-Feb-19, 18 Feb 19,$25,3,Match Pair With Learning Puzzle Game For Kids + Ready For Publish + Android,iQueen
11-Feb-19, 10 Feb 19,$21,1,Opposite | Android Words Puzzle Game Application,xscoder
11-Feb-19, 10 Feb 19,$26,1,Falling Hero Elfy -  Tamplete Buildbox + Xcode+Andriod Studio,aminokee
11-Feb-19, 10 Feb 19,$19,8,Rise Up - 40 Levels Full Game,TheYashChouhan
11-Feb-19, 10 Feb 19,$16,2,Falling Hero Elfy -  Ready For Publish + Android,aminokee
11-Feb-19, 10 Feb 19,$25,0,Running Fox Android Game App,shivay2017jan
11-Feb-19, 10 Feb 19,$59,0,2D Shooter Game,KineticNoise
11-Feb-19, 25 Feb 19,$25,2,Pizza Delivey + Heyzap + Android + buildbox+ Easy to Reskin,RogueGames
11-Feb-19, 10 Feb 19,$249,8,Ludo Classic - Ludo Star Game (Android And iOS),TITOUF-31
27-Jan-19, 26 Jan 19,$25,2,Kids Color Book + Best Kids Color Pattern Book + Android Studio + Ready For Publish,iQueen
27-Jan-19, 31 Jan 19,$25,4,Word Swipe + Best Kids For Games + Android Studio + Ready For Publish,iQueen
27-Jan-19, 26 Jan 19,$20,7,Baby Dress Up Game For Kids + Ready For Publish + Android,iQueen
27-Jan-19, 26 Jan 19,$24,1,Sea Race Advanture - Templates Buildbox,aminokee
27-Jan-19, 26 Jan 19,$25,0,Wizard Journey - Buildbox Project,saidbanane
27-Jan-19, 26 Jan 19,$14,4,Wizard Journey - Android Platformer Game with Admob,saidbanane
27-Jan-19, 26 Jan 19,$39,1,Kids' Coloring Book App - Augmented Reality Unity3D Template Project,orimpogames
27-Jan-19, 26 Jan 19,$25,1,Just Jump Android - IAP + Ads + BuildBox File,Dulisa1
27-Jan-19, 26 Jan 19,$69,0,Super Turtle Castles World BBDOC Project,APPOSTUDIO
